STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN020081700,"MADURAI, IN",01-01-1970,0.16,,,
IN020081700,"MADURAI, IN",02-01-1970,0,,,
IN020081700,"MADURAI, IN",03-01-1970,0,,,
IN020081700,"MADURAI, IN",04-01-1970,0,,,
IN020081700,"MADURAI, IN",05-01-1970,0,,,
IN020081700,"MADURAI, IN",06-01-1970,0,,,
IN020081700,"MADURAI, IN",07-01-1970,0,,,
IN020081700,"MADURAI, IN",08-01-1970,0,,,
IN020081700,"MADURAI, IN",09-01-1970,0,,,
IN020081700,"MADURAI, IN",10-01-1970,0,,,
IN020081700,"MADURAI, IN",11-01-1970,0,,,
IN020081700,"MADURAI, IN",12-01-1970,0,,,
IN020081700,"MADURAI, IN",13-01-1970,0,,,
IN020081700,"MADURAI, IN",14-01-1970,0,,,
IN020081700,"MADURAI, IN",15-01-1970,0,,,
IN020081700,"MADURAI, IN",16-01-1970,0,,,
IN020081700,"MADURAI, IN",17-01-1970,0,,,
IN020081700,"MADURAI, IN",18-01-1970,0,,,
IN020081700,"MADURAI, IN",19-01-1970,0,,,
IN020081700,"MADURAI, IN",20-01-1970,0,,,
IN020081700,"MADURAI, IN",21-01-1970,0,,,
IN020081700,"MADURAI, IN",22-01-1970,0,,,
IN020081700,"MADURAI, IN",23-01-1970,0,,,
IN020081700,"MADURAI, IN",24-01-1970,0,,,
IN020081700,"MADURAI, IN",25-01-1970,0,,,
IN020081700,"MADURAI, IN",26-01-1970,0,,,
IN020081700,"MADURAI, IN",27-01-1970,0,,,
IN020081700,"MADURAI, IN",28-01-1970,0,,,
IN020081700,"MADURAI, IN",29-01-1970,0,,,
IN020081700,"MADURAI, IN",30-01-1970,0,,,
IN020081700,"MADURAI, IN",31-01-1970,0,,,
IN020081700,"MADURAI, IN",01-02-1970,0,,,
IN020081700,"MADURAI, IN",02-02-1970,0,,,
IN020081700,"MADURAI, IN",03-02-1970,0,,,
IN020081700,"MADURAI, IN",04-02-1970,0,,,
IN020081700,"MADURAI, IN",05-02-1970,0,,,
IN020081700,"MADURAI, IN",06-02-1970,0,,,
IN020081700,"MADURAI, IN",07-02-1970,0,,,
IN020081700,"MADURAI, IN",08-02-1970,0.01,,,
IN020081700,"MADURAI, IN",09-02-1970,0,,,
IN020081700,"MADURAI, IN",10-02-1970,0,,,
IN020081700,"MADURAI, IN",11-02-1970,0,,,
IN020081700,"MADURAI, IN",12-02-1970,0,,,
IN020081700,"MADURAI, IN",13-02-1970,0,,,
IN020081700,"MADURAI, IN",14-02-1970,0,,,
IN020081700,"MADURAI, IN",15-02-1970,0,,,
IN020081700,"MADURAI, IN",16-02-1970,0,,,
IN020081700,"MADURAI, IN",17-02-1970,0,,,
IN020081700,"MADURAI, IN",18-02-1970,0,,,
IN020081700,"MADURAI, IN",19-02-1970,0.04,,,
IN020081700,"MADURAI, IN",20-02-1970,0,,,
IN020081700,"MADURAI, IN",21-02-1970,0.25,,,
IN020081700,"MADURAI, IN",22-02-1970,0,,,
IN020081700,"MADURAI, IN",23-02-1970,0.15,,,
IN020081700,"MADURAI, IN",24-02-1970,0,,,
IN020081700,"MADURAI, IN",25-02-1970,0,,,
IN020081700,"MADURAI, IN",26-02-1970,0,,,
IN020081700,"MADURAI, IN",27-02-1970,0,,,
IN020081700,"MADURAI, IN",28-02-1970,0,,,
IN020081700,"MADURAI, IN",01-03-1970,0,,,
IN020081700,"MADURAI, IN",02-03-1970,0,,,
IN020081700,"MADURAI, IN",03-03-1970,0,,,
IN020081700,"MADURAI, IN",04-03-1970,0,,,
IN020081700,"MADURAI, IN",05-03-1970,0,,,
IN020081700,"MADURAI, IN",06-03-1970,0,,,
IN020081700,"MADURAI, IN",07-03-1970,0,,,
IN020081700,"MADURAI, IN",08-03-1970,0,,,
IN020081700,"MADURAI, IN",09-03-1970,0,,,
IN020081700,"MADURAI, IN",10-03-1970,0,,,
IN020081700,"MADURAI, IN",11-03-1970,0.22,,,
IN020081700,"MADURAI, IN",12-03-1970,0,,,
IN020081700,"MADURAI, IN",13-03-1970,0,,,
IN020081700,"MADURAI, IN",14-03-1970,0,,,
IN020081700,"MADURAI, IN",15-03-1970,0,,,
IN020081700,"MADURAI, IN",16-03-1970,0,,,
IN020081700,"MADURAI, IN",17-03-1970,0,,,
IN020081700,"MADURAI, IN",18-03-1970,0,,,
IN020081700,"MADURAI, IN",19-03-1970,0,,,
IN020081700,"MADURAI, IN",20-03-1970,0,,,
IN020081700,"MADURAI, IN",21-03-1970,0,,,
IN020081700,"MADURAI, IN",22-03-1970,0,,,
IN020081700,"MADURAI, IN",23-03-1970,0,,,
IN020081700,"MADURAI, IN",24-03-1970,0,,,
IN020081700,"MADURAI, IN",25-03-1970,0,,,
IN020081700,"MADURAI, IN",26-03-1970,0,,,
IN020081700,"MADURAI, IN",27-03-1970,0,,,
IN020081700,"MADURAI, IN",28-03-1970,0,,,
IN020081700,"MADURAI, IN",29-03-1970,0,,,
IN020081700,"MADURAI, IN",30-03-1970,0,,,
IN020081700,"MADURAI, IN",31-03-1970,0,,,
IN020081700,"MADURAI, IN",01-04-1970,0,,,
IN020081700,"MADURAI, IN",02-04-1970,0,,,
IN020081700,"MADURAI, IN",03-04-1970,0.05,,,
IN020081700,"MADURAI, IN",04-04-1970,0,,,
IN020081700,"MADURAI, IN",05-04-1970,0.62,,,
IN020081700,"MADURAI, IN",06-04-1970,0.87,,,
IN020081700,"MADURAI, IN",07-04-1970,0,,,
IN020081700,"MADURAI, IN",08-04-1970,0,,,
IN020081700,"MADURAI, IN",09-04-1970,0,,,
IN020081700,"MADURAI, IN",10-04-1970,0,,,
IN020081700,"MADURAI, IN",11-04-1970,0,,,
IN020081700,"MADURAI, IN",12-04-1970,0,,,
IN020081700,"MADURAI, IN",13-04-1970,0,,,
IN020081700,"MADURAI, IN",14-04-1970,0.07,,,
IN020081700,"MADURAI, IN",15-04-1970,0.01,,,
IN020081700,"MADURAI, IN",16-04-1970,0,,,
IN020081700,"MADURAI, IN",17-04-1970,0,,,
IN020081700,"MADURAI, IN",18-04-1970,0,,,
IN020081700,"MADURAI, IN",19-04-1970,0,,,
IN020081700,"MADURAI, IN",20-04-1970,0,,,
IN020081700,"MADURAI, IN",21-04-1970,0,,,
IN020081700,"MADURAI, IN",22-04-1970,0,,,
IN020081700,"MADURAI, IN",23-04-1970,0.02,,,
IN020081700,"MADURAI, IN",24-04-1970,0.04,,,
IN020081700,"MADURAI, IN",25-04-1970,0,,,
IN020081700,"MADURAI, IN",26-04-1970,0,,,
IN020081700,"MADURAI, IN",27-04-1970,0,,,
IN020081700,"MADURAI, IN",28-04-1970,0,,,
IN020081700,"MADURAI, IN",29-04-1970,0,,,
IN020081700,"MADURAI, IN",30-04-1970,0,,,
IN020081700,"MADURAI, IN",01-05-1970,0,,,
IN020081700,"MADURAI, IN",02-05-1970,0.17,,,
IN020081700,"MADURAI, IN",03-05-1970,0,,,
IN020081700,"MADURAI, IN",04-05-1970,0,,,
IN020081700,"MADURAI, IN",05-05-1970,0,,,
IN020081700,"MADURAI, IN",06-05-1970,0,,,
IN020081700,"MADURAI, IN",07-05-1970,0,,,
IN020081700,"MADURAI, IN",08-05-1970,0,,,
IN020081700,"MADURAI, IN",09-05-1970,0.43,,,
IN020081700,"MADURAI, IN",10-05-1970,0,,,
IN020081700,"MADURAI, IN",11-05-1970,0.22,,,
IN020081700,"MADURAI, IN",12-05-1970,0.02,,,
IN020081700,"MADURAI, IN",13-05-1970,0,,,
IN020081700,"MADURAI, IN",14-05-1970,0,,,
IN020081700,"MADURAI, IN",15-05-1970,0,,,
IN020081700,"MADURAI, IN",16-05-1970,0,,,
IN020081700,"MADURAI, IN",17-05-1970,0,,,
IN020081700,"MADURAI, IN",18-05-1970,1.19,,,
IN020081700,"MADURAI, IN",19-05-1970,0,,,
IN020081700,"MADURAI, IN",20-05-1970,0,,,
IN020081700,"MADURAI, IN",21-05-1970,0,,,
IN020081700,"MADURAI, IN",22-05-1970,0,,,
IN020081700,"MADURAI, IN",23-05-1970,0,,,
IN020081700,"MADURAI, IN",24-05-1970,0.04,,,
IN020081700,"MADURAI, IN",25-05-1970,0,,,
IN020081700,"MADURAI, IN",26-05-1970,0.22,,,
IN020081700,"MADURAI, IN",27-05-1970,0,,,
IN020081700,"MADURAI, IN",28-05-1970,0,,,
IN020081700,"MADURAI, IN",29-05-1970,0,,,
IN020081700,"MADURAI, IN",30-05-1970,0,,,
IN020081700,"MADURAI, IN",31-05-1970,0,,,
IN020081700,"MADURAI, IN",01-06-1970,0,,,
IN020081700,"MADURAI, IN",02-06-1970,0,,,
IN020081700,"MADURAI, IN",03-06-1970,0,,,
